i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end
0,4.625,4.791666666666667,4.708333333333334,1,0.16666666666666666,0.2241751807685255,2.8379954442048216e-8
1,4.791666666666667,4.833333333333333,4.8125,1,0.3333333333333333,0.22939160102047834,3.576148173700666e-7
54,7,7.041666666666667,7.020833333333334,3,0.8333333333333334,0.504693596665516,0.5138090767940706
55,7.041666666666667,7.083333333333333,7.0625,1,1,0.5094001511385127,0.5274856409292161
