i,start_days,end_days,mid_days,mass,empirical_cdf_at_end,predicted_cdf_unshifted_at_end,predicted_cdf_shifted_at_end
0,4,5,4.5,2,0.2222222222222222,0.25045442677113566,0.011930484004006425
1,5,6,5.5,1,0.3333333333333333,0.3788825558642162,0.20426273726444266
3,7,8,7.5,3,0.6666666666666666,0.605244972731231,0.7199489524815865
4,8,9,8.5,1,0.7777777777777778,0.6923466896049977,0.849320342665726
15,19,20,19.5,1,0.8888888888888888,0.9821148939273711,0.9996271939838117
16,20,21,20.5,1,1,0.9859937116006592,0.9997619046745587
