funnel_id,onset_days,median_lag_days,mean_lag_days,mu,sigma,mde,actual_bin_day_0,actual_bin_day_1,actual_bin_day_2,actual_bin_day_3,actual_bin_day_4,actual_bin_day_5,actual_bin_day_6,actual_bin_day_7,actual_bin_day_8,actual_bin_day_9,est_bin_shift_no_guardrail_day_0,est_bin_shift_no_guardrail_day_1,est_bin_shift_no_guardrail_day_2,est_bin_shift_no_guardrail_day_3,est_bin_shift_no_guardrail_day_4,est_bin_shift_no_guardrail_day_5,est_bin_shift_no_guardrail_day_6,est_bin_shift_no_guardrail_day_7,est_bin_shift_no_guardrail_day_8,est_bin_shift_no_guardrail_day_9
switch-registered_to_switch-success,6.000804,6.277656,7.947080,-1.284272,1.974938,0.032029,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,284.000000,61.000000,53.000000,89.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,362.151785,48.548704,21.752106,55.547405
energy-rec_to_switch-registered,4.145000,8.000434,8.993602,1.349484,0.677063,0.044636,0.000000,0.000000,0.000000,2.000000,72.000000,51.000000,29.000000,74.000000,108.000000,248.000000,0.000000,0.000000,0.000000,0.000000,7.625187,74.105033,110.189834,100.041205,77.857936,214.180804
